OD	Sample_names	Sites	Sampler	duration	Type	Tube	Material	Buffer_vol	Dates	Site_Code	Sampler_Code	Date_Code	Comment	Plate	well	DNAC
45	1DH30	Duebendorf	Hepa	30 min	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-05T00:00:00Z	D	H	1	NA	Plate_2	E_3	0.00771484929112979
94	1DH5	Duebendorf	Hepa	5 hours	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-05T00:00:00Z	D	H	1	NA	Plate_2	E_4	0.016115462963693337
46	4HHcontrol	Haslibach	Hepa	NA	field_control	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-08T00:00:00Z	H	H	4	NA	Plate_2	E_5	0.00788629038648823
558	9GF2	Gaebelbach	WSL_Filter	2 weeks	passive	BeadRupt_7ml	Glass_Fiber_90mm	3	2022-07-31T00:00:00Z	G	F	9	NA	Plate_2	E_6	0.0956641312100094
39	BLANK8	NA	Extraction Blanks	NA	field_control	NA	NA	NA	NA	NA	NA	NA	NA	Plate_2	E_7	0.006686202718979151
9147	3CK5	Coruz	Kärcher	5 hours	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-07T00:00:00Z	C	K	3	NA	Plate_2	E_8	1.5681716992436485
173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02965930949701008
130	6GC30	Gaebelbach	Coriolis	30 min	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-10T00:00:00Z	G	C	6	NA	Plate_1	F_1	0.02228734239659717
1298	6GC5	Gaebelbach	Coriolis	5 hours	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-10T00:00:00Z	G	C	6	NA	Plate_1	F_2	0.22253054177525483
118	4HE30	Haslibach	Electrostatic	30 min	active	BeadRupt_2ml	Swab	2	2022-07-08T00:00:00Z	H	E	4	NA	Plate_1	F_3	0.020230049252295892
142	3CE5	Coruz	Electrostatic	5 hours	active	BeadRupt_2ml	Swab	2	2022-07-07T00:00:00Z	C	E	3	NA	Plate_1	F_4	0.024344635540898447
78	1DB30	Duebendorf	Burkhart	30 min	active	Eppi_1.5	none	1.5	2022-07-05T00:00:00Z	D	B	1	NA	Plate_1	F_5	0.013372405437958302
67	8RB30	Riedgraben	Burkhart	30 min	active	Eppi_1.5	none	1.5	2022-07-12T00:00:00Z	R	B	8	NA	Plate_1	F_6	0.011486553389015464
123	8RB5	Riedgraben	Burkhart	5 hours	active	Eppi_1.5	none	1.5	2022-07-12T00:00:00Z	R	B	8	NA	Plate_1	F_7	0.02108725472908809
285	9LM2	Leugene	MWAC	2 weeks	passive	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-31T00:00:00Z	L	M	9	NA	Plate_1	F_8	0.04886071217715533
148	4HD30	Haslibach	Drone	30 min	active	BeadRupt_2ml	Swab_and_grease	2	2022-07-08T00:00:00Z	H	D	4	NA	Plate_1	F_9	0.025373282113049088
35	3CDcontrol	Coruz	Drone	NA	field_control	BeadRupt_2ml	Swab_and_grease	2	2022-07-07T00:00:00Z	C	D	3	NA	Plate_1	F_10	0.006000438337545392
36	BLANK5	NA	Extraction Blanks	NA	field_control	NA	NA	NA	NA	NA	NA	NA	NA	Plate_2	F_1	0.006171879432903832
249	5LS5	Leugene	Sass	5 hours	active	BeadRupt_7ml	SASS_filter	3	2022-07-09T00:00:00Z	L	S	5	NA	Plate_2	F_2	0.042688832744251504
75	2TH30	Talent	Hepa	30 min	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-06T00:00:00Z	T	H	2	NA	Plate_2	F_3	0.012858082151882983
297	2TH5	Talent	Hepa	5 hours	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-06T00:00:00Z	T	H	2	NA	Plate_2	F_4	0.050918005321456614
43	7WHcontrol	Weierbach	Hepa	NA	field_control	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-11T00:00:00Z	W	H	7	NA	Plate_2	F_5	0.00737196710041291
782	9WF2	Weierbach	WSL_Filter	2 weeks	passive	BeadRupt_7ml	Glass_Fiber_90mm	3	2022-07-31T00:00:00Z	W	F	9	NA	Plate_2	F_6	0.13406693657029992
142	5LK30	Leugene	Kärcher	30 min	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-09T00:00:00Z	L	K	5	NA	Plate_2	F_7	0.024344635540898447
6027	4HK5	Haslibach	Kärcher	5 hours	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-08T00:00:00Z	H	K	4	NA	Plate_2	F_8	1.0332754817253165
48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00822917257720511
126	6GC30	Gaebelbach	Coriolis	30 min	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-10T00:00:00Z	G	C	6	NA	Plate_1	F_1	0.021601578015163412
1075	6GC5	Gaebelbach	Coriolis	5 hours	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-10T00:00:00Z	G	C	6	NA	Plate_1	F_2	0.18429917751032276
