Plate	row	col	Sample_names	Sites	Sampler	duration	Type	Index
Plate_2	E	3	4HHcontrol	Haslibach	Hepa	NA	field_control	NGS_UDP0147
Plate_2	E	4	9GF2	Gaebelbach	WSL_Filter	2 weeks	passive	NGS_UDP0148
Plate_2	E	5	BLANK8	NA	Extraction Blanks	NA	extr_control	NGS_UDP0149
Plate_2	E	6	3CK5	Coruz	Kärcher	5 hours	active	NGS_UDP0150
Plate_2	E	7	PCR30_neg1	NA	NA	NA	PCR_control	NGS_UDP0151
Plate_2	F	1	2TH30	Talent	Hepa	30 min	active	NGS_UDP0157
Plate_2	F	2	2TH5	Talent	Hepa	5 hours	active	NGS_UDP0158
Plate_2	F	3	7WHcontrol	Weierbach	Hepa	NA	field_control	NGS_UDP0159
Plate_2	F	4	9WF2	Weierbach	WSL_Filter	2 weeks	passive	NGS_UDP0160
Plate_2	F	5	5LK30	Leugene	Kärcher	30 min	active	NGS_UDP0161
Plate_2	F	6	4HK5	Haslibach	Kärcher	5 hours	active	NGS_UDP0162
Plate_2	F	7	PCR25_neg1	NA	NA	NA	PCR_control	NGS_UDP0163
Plate_2	G	1	3CH30	Coruz	Hepa	30 min	active	NGS_UDP0169
Plate_2	G	2	3CH5	Coruz	Hepa	5 hours	active	NGS_UDP0170
Plate_2	G	3	BLANK7	NA	Extraction Blanks	NA	extr_control	NGS_UDP0171
Plate_2	G	4	9RF2	Riedgraben	WSL_Filter	2 weeks	passive	NGS_UDP0172
Plate_2	G	5	6GK30	Gaebelbach	Kärcher	30 min	active	NGS_UDP0173
Plate_2	G	6	5LK5	Leugene	Kärcher	5 hours	active	NGS_UDP0174
Plate_2	G	7	PCR37_neg1	NA	NA	NA	PCR_control	NGS_UDP0175
Plate_2	H	1	4HH30	Haslibach	Hepa	30 min	active	NGS_UDP0181
Plate_2	H	2	4HH5	Haslibach	Hepa	5 hours	active	NGS_UDP0182
Plate_2	H	3	9DF2	Duebendorf	WSL_Filter	2 weeks	passive	NGS_UDP0183
Plate_2	H	4	9F2control1	NA	WSL_Filter	NA	field_control	NGS_UDP0184
Plate_2	H	5	7WK30	Weierbach	Kärcher	30 min	active	NGS_UDP0185
Plate_2	H	6	6GK5	Gaebelbach	Kärcher	5 hours	active	NGS_UDP0186
