seq	kingdom	phylum	class	order	family	genus	species
seq_14011	Chromista	Ciliophora	Colpodea	Colpodida	Colpodidae	Colpoda	NA
seq_14012	Fungi	Ascomycota	Leotiomycetes	Helotiales	Pezizellaceae	Chalara	Chalara recta
seq_14014	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
seq_14015	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	NA
seq_14018	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Oliveoniaceae	Oliveonia	NA
seq_14019	Fungi	Entomophthoromycota	Entomophthoromycetes	Entomophthorales	Entomophthoraceae	Pandora	NA
seq_14020	NA	NA	NA	NA	NA	NA	NA
seq_14021	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum scovillei
seq_14028	NA	NA	NA	NA	NA	NA	NA
seq_14029	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
seq_14031	NA	NA	NA	NA	NA	NA	NA
seq_14032	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Coleosporiaceae	Coleosporium	Coleosporium tussilaginis
seq_14033	NA	NA	NA	NA	NA	NA	NA
seq_14034	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Dichotomopilus	Dichotomopilus erectus
seq_14035	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	NA
seq_14037	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Tulasnellaceae	Tulasnella	NA
seq_14039	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Tolypocladium	NA
seq_14040	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	NA	NA
seq_14041	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	NA
seq_14043	Plantae	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Corylus	NA
